id;time;Euler1;Euler2;Euler3;SysCal;GyroCal;AccCal;MagCal;Max;;;
92;19.57.42;148,94;-0,31;-3,12;3;3;3;3;;;;
93;19.58.42;148,94;-0,31;-3,12;3;3;3;3;;;;
94;19.59.42;148,94;-0,31;-3,12;3;3;3;3;;;;
95;20.00.42;148,94;-0,31;-3,12;3;3;3;3;;;;
96;20.01.42;148,94;-0,31;-3,12;3;3;3;3;;;;
97;20.02.42;148,94;-0,31;-3,12;3;3;3;3;;;;
98;20.03.42;148,94;-0,31;-3,12;3;3;3;3;;;;
99;20.04.42;148,94;-0,31;-3,12;3;3;3;3;;;;
100;20.05.42;148,94;-0,31;-3,12;3;3;3;3;;;;
101;20.06.42;148,94;-0,31;-3,12;3;3;3;3;;;;
102;20.07.42;148,94;-0,31;-3,12;3;3;3;3;;;;
103;20.08.42;148,94;-0,31;-3,12;3;3;3;3;;;;
104;20.09.42;148,94;-0,31;-3,12;3;3;3;3;;;;
105;20.10.42;148,94;-0,31;-3,12;3;3;3;3;;;;
106;20.11.42;148,94;-0,31;-3,12;3;3;3;3;;;;
107;20.12.42;148,94;-0,31;-3,12;3;3;3;3;;;;
108;20.13.42;148,94;-0,31;-3,12;3;3;3;3;;;;
109;20.14.42;148,94;-0,31;-3,12;3;3;3;3;;;;
110;20.15.42;148,94;-0,31;-3,12;3;3;3;3;;;;
111;20.16.42;148,25;-0,31;-3,12;3;3;3;3;;;;
112;20.17.42;148,25;-0,31;-3,12;3;3;3;3;;;;
113;20.18.42;148,25;-0,31;-3,12;3;3;3;3;;;;
114;20.19.42;148,25;-0,31;-3,12;3;3;3;3;;;;
115;20.20.42;148,25;-0,31;-3,12;3;3;3;3;;;;
116;20.21.42;148,25;-0,31;-3,12;3;3;3;3;;;;
117;20.22.42;148,25;-0,31;-3,12;3;3;3;3;;;;
118;20.23.42;148,25;-0,31;-3,12;3;3;3;3;;;;
119;20.24.42;148,25;-0,31;-3,12;3;3;3;3;;;;
120;20.25.42;148,25;-0,31;-3,12;3;3;3;3;;;;
121;20.26.42;148,25;-0,31;-3,12;3;3;3;3;;;;
122;20.27.42;148,25;-0,38;-3,19;3;3;3;3;;;;
123;20.28.42;148,25;-0,38;-3,19;3;3;3;3;;;;
124;20.29.42;148,25;-0,38;-3,19;3;3;3;3;;;;
125;20.30.42;148,25;-0,38;-3,19;3;3;3;3;;;;
126;20.31.42;148,25;-0,38;-3,19;3;3;3;3;;;;
127;20.32.42;148,25;-0,38;-3,19;3;3;3;3;;;;
128;20.33.42;148,25;-0,38;-3,19;3;3;3;3;;;;
129;20.34.42;148,25;-0,38;-3,19;3;3;3;3;;;;
130;20.35.42;148,25;-0,38;-3,19;3;3;3;3;;;;
131;20.36.42;148,25;-0,38;-3,19;3;3;3;3;;;;
132;20.37.42;148,25;-0,38;-3,19;3;3;3;3;;;;
133;20.38.42;148,25;-0,38;-3,19;3;3;3;3;;;;
134;20.39.42;148,25;-0,38;-3,19;3;3;3;3;;;;
135;20.40.42;148,25;-0,38;-3,19;3;3;3;3;;;;
136;20.41.42;148,25;-0,38;-3,19;3;3;3;3;;;;
137;20.42.42;148,25;-0,38;-3,19;3;3;3;3;;;;
138;20.43.42;148,25;-0,38;-3,19;3;3;3;3;;;;
139;20.44.42;148,25;-0,38;-3,19;3;3;3;3;;;;
140;20.45.42;148,25;-0,38;-3,19;3;3;3;3;;;;
141;20.46.42;148,25;-0,38;-3,19;3;3;3;3;;;;
142;20.47.43;148,25;-0,38;-3,19;3;3;3;3;;;;
143;20.48.42;148,25;-0,38;-3,19;3;3;3;3;;;;
144;20.49.42;148,25;-0,38;-3,19;3;3;3;3;;;;
145;20.50.43;148,25;-0,38;-3,19;3;3;3;3;;;;
146;20.51.42;148,25;-0,38;-3,19;3;3;3;3;;;;
147;20.52.42;148,25;-0,38;-3,19;3;3;3;3;;;;
148;20.53.43;148,25;-0,38;-3,19;3;3;3;3;;;;
149;20.54.43;148,25;-0,38;-3,19;3;3;3;3;;;;
150;20.55.42;148,25;-0,38;-3,19;3;3;3;3;;;;
151;20.56.42;148,25;-0,38;-3,19;3;3;3;3;;;;
152;20.57.43;148,25;-0,38;-3,19;3;3;3;3;;;;
153;20.58.43;148,25;-0,38;-3,19;3;3;3;3;;;;
154;20.59.42;148,25;-0,38;-3,19;3;3;3;3;;;;
155;21.00.43;148,25;-0,38;-3,19;3;3;3;3;;;;
156;21.01.42;148,25;-0,38;-3,19;3;3;3;3;;;;
157;21.02.43;148,25;-0,38;-3,19;3;3;3;3;;;;
158;21.03.43;148,25;-0,38;-3,19;3;3;3;3;;;;
159;21.04.43;148,25;-0,38;-3,19;3;3;3;3;;;;
160;21.05.43;148,25;-0,38;-3,19;3;3;3;3;;;;
161;21.06.43;148,25;-0,38;-3,19;3;3;3;3;;;;
162;21.07.43;148,25;-0,38;-3,19;3;3;3;3;;;;
163;21.08.43;148,25;-0,38;-3,19;3;3;3;3;;;;
164;21.09.43;148,25;-0,38;-3,19;3;3;3;3;;;;
165;21.10.43;148,25;-0,38;-3,19;3;3;3;3;;;;
166;21.11.43;148;-0,38;-3,19;3;3;3;3;;;;
167;21.12.43;148;-0,38;-3,19;3;3;3;3;;;;
168;21.13.43;148;-0,38;-3,19;3;3;3;3;;;;
169;21.14.43;148;-0,38;-3,19;3;3;3;3;;;;
170;21.15.43;148;-0,38;-3,19;3;3;3;3;;;;
