id,gender,age,time,type,type_order,stim_order,stim,response,pitch,roll,yaw,reaction_time
0,Male,24,Sun May 20 18:45:39 GMT+02:00 2018,arm_num,2,5,52,46.900000000000006,42.222546,8.367088,281.65115,5785
0,Male,24,Sun May 20 18:45:47 GMT+02:00 2018,arm_num,2,6,78,56.3,50.707104,14.687506,281.31216,6004
0,Male,24,Sun May 20 18:45:53 GMT+02:00 2018,arm_num,2,7,75,61.8,55.594852,10.337799,285.91754,5099
0,Male,24,Sun May 20 18:46:04 GMT+02:00 2018,arm_num,2,8,5,6.5,5.8196344,12.964447,285.90698,9223
0,Male,24,Sun May 20 18:46:10 GMT+02:00 2018,arm_num,2,9,97,75.5,67.91394,0.08582799,278.05267,4864
0,Male,24,Sun May 20 18:46:15 GMT+02:00 2018,arm_num,2,10,14,37.5,33.757095,22.319029,278.08768,3961
0,Male,24,Sun May 20 18:46:24 GMT+02:00 2018,arm_num,2,11,82,63.9,57.545166,9.592985,293.19333,7748
0,Male,24,Sun May 20 18:46:28 GMT+02:00 2018,arm_num,2,12,9,23.1,20.824387,1.3717562,289.58945,3920
0,Male,24,Sun May 20 18:46:41 GMT+02:00 2018,arm_num,2,13,87,60.5,54.45671,16.886858,293.74338,11880
0,Male,24,Sun May 20 18:46:48 GMT+02:00 2018,arm_num,2,14,73,54.5,49.006516,10.576046,287.94888,6419
0,Male,24,Sun May 20 18:46:54 GMT+02:00 2018,arm_num,2,15,55,39.300000000000004,35.379044,20.42362,289.70276,4601
0,Male,24,Sun May 20 18:46:59 GMT+02:00 2018,arm_num,2,16,28,26.200000000000003,23.5515,5.86764,296.7824,4853
0,Male,24,Sun May 20 18:47:06 GMT+02:00 2018,arm_num,2,17,67,54.2,48.741386,22.770042,288.16998,6078
0,Male,24,Sun May 20 18:47:11 GMT+02:00 2018,arm_num,2,18,83,61.3,55.151546,12.391413,290.4098,3907
0,Male,24,Sun May 20 18:47:15 GMT+02:00 2018,arm_num,2,19,61,50.099999999999994,45.062202,20.053967,290.69525,3878
0,Male,24,Sun May 20 18:47:31 GMT+02:00 2018,wrist_grey,3,0,40,35.917,14.433413,65.974846,264.54422,8499
0,Male,24,Sun May 20 18:47:38 GMT+02:00 2018,wrist_grey,3,1,16,20.188000000000002,2.0825264,37.045685,276.57852,6699
0,Male,24,Sun May 20 18:47:45 GMT+02:00 2018,wrist_grey,3,2,29,30.723,11.721739,56.425674,279.67676,4658
0,Male,24,Sun May 20 18:47:52 GMT+02:00 2018,wrist_grey,3,3,47,28.910000000000004,27.920252,53.078144,269.36966,6267
0,Male,24,Sun May 20 18:47:57 GMT+02:00 2018,wrist_grey,3,4,38,32.536,38.486286,59.774254,263.3081,4877
0,Male,24,Sun May 20 18:48:03 GMT+02:00 2018,wrist_grey,3,5,28,35.084,14.965533,64.42802,268.80792,4707
0,Male,24,Sun May 20 18:48:08 GMT+02:00 2018,wrist_grey,3,6,48,36.456,10.650993,66.92347,271.5423,4156
0,Male,24,Sun May 20 18:48:14 GMT+02:00 2018,wrist_grey,3,7,43,43.708000000000006,8.614008,80.280624,273.26462,5454
0,Male,24,Sun May 20 18:48:18 GMT+02:00 2018,wrist_grey,3,8,17,24.304000000000002,4.459613,44.630642,280.96713,3786
0,Male,24,Sun May 20 18:48:23 GMT+02:00 2018,wrist_grey,3,9,41,35.133,9.195794,64.53581,273.40805,4037
0,Male,24,Sun May 20 18:48:27 GMT+02:00 2018,wrist_grey,3,10,5,15.043000000000001,-2.8356602,27.632627,281.02,3880
0,Male,24,Sun May 20 18:48:33 GMT+02:00 2018,wrist_grey,3,11,21,33.761,11.135765,61.99546,277.43726,4695
0,Male,24,Sun May 20 18:48:37 GMT+02:00 2018,wrist_grey,3,12,39,32.732,8.090582,60.130768,277.30768,3597
0,Male,24,Sun May 20 18:48:41 GMT+02:00 2018,wrist_grey,3,13,27,30.478,-0.2142895,56.00934,282.82727,3803
0,Male,24,Sun May 20 18:48:47 GMT+02:00 2018,wrist_grey,3,14,45,34.692,0.09842285,63.73359,281.0202,5595
0,Male,24,Sun May 20 18:48:54 GMT+02:00 2018,wrist_grey,3,15,6,27.097000000000005,-5.1205626,49.793243,289.4868,6070
0,Male,24,Sun May 20 18:48:58 GMT+02:00 2018,wrist_grey,3,16,34,34.496,-6.4733863,63.369503,284.36514,3362
0,Male,24,Sun May 20 18:49:02 GMT+02:00 2018,wrist_grey,3,17,3,28.175,-1.684786,51.767326,285.30933,3785
0,Male,24,Sun May 20 18:49:06 GMT+02:00 2018,wrist_grey,3,18,30,31.409000000000002,-0.78253484,57.73299,280.71936,3355
0,Male,24,Sun May 20 18:49:11 GMT+02:00 2018,wrist_grey,3,19,9,28.273,-4.285905,51.90399,282.29196,4310
0,Male,24,Sun May 20 18:49:21 GMT+02:00 2018,arm_grey,4,0,10,2.94,5.413657,8.160219,284.8081,5521
0,Male,24,Sun May 20 18:49:26 GMT+02:00 2018,arm_grey,4,1,20,13.524,24.816078,-3.2823882,287.6373,4160
0,Male,24,Sun May 20 18:49:31 GMT+02:00 2018,arm_grey,4,2,38,25.823,47.39078,-2.129971,281.0923,3534
0,Male,24,Sun May 20 18:49:34 GMT+02:00 2018,arm_grey,4,3,12,21.364000000000004,39.21058,14.667927,279.99707,3375
0,Male,24,Sun May 20 18:49:42 GMT+02:00 2018,arm_grey,4,4,4,8.477,15.552399,2.3488033,284.04416,5953
0,Male,24,Sun May 20 18:49:47 GMT+02:00 2018,arm_grey,4,5,23,20.237000000000002,37.1526,5.7901363,279.77832,3756
0,Male,24,Sun May 20 18:49:51 GMT+02:00 2018,arm_grey,4,6,16,17.542,32.18773,-8.102242,284.23538,3725
0,Male,24,Sun May 20 18:49:56 GMT+02:00 2018,arm_grey,4,7,39,30.674,56.352463,4.747677,282.49176,4207
0,Male,24,Sun May 20 18:50:01 GMT+02:00 2018,arm_grey,4,8,36,30.87,56.658463,10.965828,288.31866,4444
0,Male,24,Sun May 20 18:50:07 GMT+02:00 2018,arm_grey,4,9,32,33.614000000000004,61.735825,12.176334,291.35916,4230
0,Male,24,Sun May 20 18:50:12 GMT+02:00 2018,arm_grey,4,10,2,7.840000000000001,14.399679,13.125915,285.4173,4800
0,Male,24,Sun May 20 18:50:18 GMT+02:00 2018,arm_grey,4,11,47,33.614000000000004,61.72642,12.550492,285.56122,4422
0,Male,24,Sun May 20 18:50:24 GMT+02:00 2018,arm_grey,4,12,37,30.919,56.76118,7.3009286,286.0683,5263
0,Male,24,Sun May 20 18:50:34 GMT+02:00 2018,arm_grey,4,13,13,10.731,19.735973,22.541454,286.6146,9303
0,Male,24,Sun May 20 18:50:40 GMT+02:00 2018,arm_grey,4,14,40,32.977000000000004,60.612255,9.022363,286.4546,5176
0,Male,24,Sun May 20 18:50:44 GMT+02:00 2018,arm_grey,4,15,22,18.571,34.15443,10.938989,285.2629,4102
0,Male,24,Sun May 20 18:50:50 GMT+02:00 2018,arm_grey,4,16,0,6.027,11.025116,5.398662,290.8788,4582
0,Male,24,Sun May 20 18:50:54 GMT+02:00 2018,arm_grey,4,17,7,9.898000000000001,18.144556,5.713157,297.83417,3406
